Individual,site,region,0.1mb,1mb,5mb,10mb
,,,,,,
BEN_CI15,Kanha,north,0.065850887,0.147116688,0.04517767,0.011425455
,,,,,,
BEN_CI16,Kanha,north,0.054941934,0.157342323,0.204021837,0.068532208
,,,,,,
BEN_CI18,Kanha,north,0.063168199,0.132029659,0.044158717,0.012028838
,,,,,,
BEN_CI19,Kanha,north,0.055185568,0.107974951,0.008558146,0
,,,,,,
BEN_CI3,Kanha,north,0.334135505,0.057941149,0.0610727,0.049109788
,,,,,,
BEN_CI4,Kanha,north,0.046684909,0.133827261,0.061237002,0.027551326
,,,,,,
BEN_CI5,Kanha,north,0.046759125,0.132070139,0.030852865,0
,,,,,,
BEN_CI6,Kanha,north,0.056942654,0.144587284,0.05848244,0.009325838
,,,,,,
BEN_NE1,kaziranga,north-east,0.07647016,0.122679513,0.055863981,0.018855102
,,,,,,
BEN_NE2,kaziranga,north-east,0.071221515,0.177457778,0.237277474,0.150175811
,,,,,,
BEN_NE3,kaziranga,north-east,0.054695198,0.173556767,0.252271628,0.053398625
,,,,,,
BEN_NOR1,corbett,north,0.058791935,0.19212517,0.082454701,0.004544197
,,,,,,
BEN_NOR2,corbett,north,0.069944746,0.175090733,0.103321972,0.050749731
,,,,,,
BEN_NW10,ranthambore,ranthambore,0.035672438,0.242191933,0.361282446,0.047646997
,,,,,,
BEN_NW11,ranthambore,ranthambore,0.035862913,0.167842357,0.227421672,0.069614838
,,,,,,
BEN_NW12,ranthambore,ranthambore,0.034861768,0.181047125,0.306401653,0.160784359
,,,,,,
BEN_NW13,ranthambore,ranthambore,0.040189402,0.23497302,0.299251931,0.074638912
,,,,,,
BEN_NW14,ranthambore,ranthambore,0.042037346,0.142553229,0.247130761,0.151409537
,,,,,,
BEN_NW17,ranthambore,ranthambore,0.026072564,0.179220547,0.269460361,0.109138103
,,,,,,
BEN_NW18,ranthambore,ranthambore,0.040531327,0.202230559,0.34697242,0.142979708
,,,,,,
BEN_NW19,ranthambore,ranthambore,0.037410031,0.15968896,0.216808011,0.113524051
,,,,,,
BEN_NW20,ranthambore,ranthambore,0.05189799,0.30461903,0.205672138,0.008918572
,,,,,,
BEN_NW24,ranthambore,ranthambore,0.040512206,0.208452545,0.318368447,0.055459513
,,,,,,
BEN_NW3,ranthambore,ranthambore,0.040064057,0.169419705,0.237360789,0.182164909
,,,,,,
BEN_NW4,ranthambore,ranthambore,0.030983669,0.128878923,0.196505236,0.135629881
,,,,,,
BEN_NW5,ranthambore,ranthambore,0.044439562,0.152927075,0.165035309,0.112568555
,,,,,,
BEN_NW55,ranthambore,ranthambore,0.049013798,0.310569844,0.22887772,0.012697006
,,,,,,
BEN_NW57,ranthambore,ranthambore,0.066955927,0.355812808,0.201611251,0.005184104
,,,,,,
BEN_NW6,ranthambore,ranthambore,0.03492896,0.159216354,0.237910491,0.081639078
,,,,,,
BEN_NW8,ranthambore,ranthambore,0.036260918,0.199772937,0.316273302,0.100280451
,,,,,,
BEN_NW9,ranthambore,ranthambore,0.041270519,0.170112146,0.295790092,0.130717867
,,,,,,
BEN_SI1,wayanad,south,0.067637078,0.191378458,0.141080627,0.057743702
,,,,,,
BEN_SI11,wayanad,south,0.017398433,0.127703056,0.134107651,0.024396093
,,,,,,
BEN_SI3,wayanad,south,0.060522203,0.196856017,0.156999345,0.056825397
,,,,,,
BEN_SI5,periyar,south,0.046360897,0.264345599,0.367011898,0.079573339
,,,,,,
BEN_SI6,wayanad,south,0.062821298,0.186499965,0.156320284,0.073950197
,,,,,,
BEN_SI8,wayanad,south,0.065078167,0.19626323,0.19688337,0.100357079
,,,,,,
BEN_SI9,wayanad,south,0.069203581,0.183262471,0.124823256,0.052258021
,,,,,,
LGS,central,north,0.062337151,0.199826898,0.096149075,0.007861844
,,,,,,
ZSB_01,zoo,zoo,0.054315206,0.136253678,0.08031342,0.057910771
,,,,,,
ZSB_02,zoo,zoo,0.056332639,0.1576319,0.211743055,0.060038417
,,,,,,
ZSB_03,zoo,zoo,0.045374776,0.144343731,0.190122977,0.067307048
,,,,,,
ZSB_04,zoo,zoo,0.046933226,0.171599066,0.202969669,0.021493484
,,,,,,
ZSB_05,zoo,zoo,0.05522934,0.143122748,0.165380204,0.065675279
