"pair","proprem","length"
"Ranthambore-Periyar",0.588199692525208,"above10k"
"Ranthambore-Ranthambore",0.584392462664766,"above10k"
"Ranthambore-Kaziranga",0.417474130427202,"above10k"
"Ranthambore-Wayanad",0.397917483079154,"above10k"
"Ranthambore-Zoo",0.387618536969487,"above10k"
"Ranthambore-Corbett",0.348444697496624,"above10k"
"Ranthambore-Lalgarh",0.33366216830597,"above10k"
"Ranthambore-Chandrapur",0.295814413748855,"above10k"
"Ranthambore-Kanha",0.266458545321726,"above10k"
"Ranthambore-Ranthambore",0.564467573869375,"above100k"
"Ranthambore-Periyar",0.562766542004176,"above100k"
"Ranthambore-Kaziranga",0.371519001259438,"above100k"
"Ranthambore-Wayanad",0.363183168120918,"above100k"
"Ranthambore-Zoo",0.352938904105839,"above100k"
"Ranthambore-Corbett",0.30015505339393,"above100k"
"Ranthambore-Lalgarh",0.286620119431052,"above100k"
"Ranthambore-Chandrapur",0.285364087966877,"above100k"
"Ranthambore-Kanha",0.223530973791549,"above100k"
"Ranthambore-Ranthambore",0.408659750124089,"above1000k"
"Ranthambore-Periyar",0.379622535360244,"above1000k"
"Ranthambore-Kaziranga",0.247668954764903,"above1000k"
"Ranthambore-Zoo",0.23006474925364,"above1000k"
"Ranthambore-Wayanad",0.218005938914767,"above1000k"
"Ranthambore-Chandrapur",0.164502762624277,"above1000k"
"Ranthambore-Corbett",0.136868631361094,"above1000k"
"Ranthambore-Lalgarh",0.104392243219434,"above1000k"
"Ranthambore-Kanha",0.102527002265639,"above1000k"
